Game Number,Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
1,Super Mario Odyssey,NSW,Nintendo,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
2,The Legend of Zelda: Breath of the Wild,NSW WIIU,Nintendo,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
3,Divinity: Original Sin II,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
4,Persona 5,PS4 PS3,Atlus,RPG,0,0,0,0,0,0,0,0,0,0,0,0
5,What Remains of Edith Finch,PC PS4 XBO,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
6,Lone Echo,PC,Other,VR Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
7,Lone Echo: Echo Arena,PC,Other,VR Action,0,0,0,0,0,0,0,0,0,0,0,0
8,F1 2017,PC PS4 XBO,Codemasters,Racing,0,0,0,0,0,0,0,0,0,0,0,0
9,Final Fantasy XIV: Stormblood,PC PS4 PS3,Square-Enix,RPG,0,0,0,0,0,0,0,0,0,0,0,0
10,Wolfenstein II: The New Colossus,PC PS4 XBO,Bethesda,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
11,Cuphead,PC XBO,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
12,Horizon: Zero Dawn,PS4,Sony,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
13,Injustice 2,PS4 XBO,WB,Fighting,0,0,0,0,0,0,0,0,0,0,0,0
14,XCOM 2: War of the Chosen,PC PS4 XBO,Take Two,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
15,SteamWorld Dig 2,PC PS4 VITA NSW,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
16,NiER: Automata,PC PS4 XBO,RPG,Square-Enix,0,0,0,0,0,0,0,0,0,0,0,0
17,West of Loathing,PC,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
18,Nex Machina: Death Machine,PC PS4,Other,Action,0,0,0,0,0,0,0,0,0,0,0,0
19,Night In The Woods,PC PS4 XBO NSW,Other,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
20,Nioh,PC PS4,Koei Tecmo,Action,0,0,0,0,0,0,0,0,0,0,0,0
21,Destiny 2,PC PS4 XBO,Activision Blizzard,Shooter,0,0,0,0,0,0,0,0,0,0,0,0
22,Raw Data,PC PS4,Other,VR Shooter,0,0,0,0,0,0,0,0,0,0,0,0
23,Zero Escape: The Nonary Games,PC PS4 VITA,Other,Adventure,0,0,0,0,0,0,0,0,0,0,0,0
24,Forza Horizon 3: Hot Wheels,PC XBO,Microsoft,Racing,0,0,0,0,0,0,0,0,0,0,0,0
25,Observer,PC PS4 XBO,Other,Horror,0,0,0,0,0,0,0,0,0,0,0,0
26,Mario + Rabbids: Kingdom Battle,NSW,Ubisoft,Strategy,0,0,0,0,0,0,0,0,0,0,0,0
27,Assassin's Creed: Origins,PC PS4 XBO,Ubisoft,Action-Adventure,0,0,0,0,0,0,0,0,0,0,0,0
28,Ys VII: Lacrimosa of DANA,PS4 VITA,Other,RPG,0,0,0,0,0,0,0,0,0,0,0,0
