Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
1 2 switch,nsw,nintendo,party,0,0,0,0,0,0,0,0,0,0,0,0
20xx,pc ps4,batterystaple games,action,0,0,0,0,0,0,0,0,0,0,0,0
a hat in time,pc ps4 xbo,gears for breakfast,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
a normal lost phone,ios and pc,plug in digital,adventure,0,0,0,0,0,0,0,0,0,0,0,0
a rose in the twilight,pc vita,nippon ichi,adventure,0,0,0,0,0,0,0,0,0,0,0,0
aaero,pc ps4 xbo,mad fellows,rhythm,0,0,0,0,0,0,0,0,0,0,0,0
absolver,pc ps4,devolver digital,fighting,0,0,0,0,0,0,0,0,0,0,0,0
animal crossing pocket camp,ios and,nintendo,simulation,0,0,0,0,0,0,0,0,0,0,0,0
another lost phone lauras story,ios and pc,plug in digital,adventure,0,0,0,0,0,0,0,0,0,0,0,0
antihero,pc,versus evil,board+card,0,0,0,0,0,0,0,0,0,0,0,0
arcana hearts 3 lovemax sixstars,pc,arc system works,action,0,0,0,0,0,0,0,0,0,0,0,0
ark survival evolved,pc ps4 xbo,studio wildcard,adventure,0,0,0,0,0,0,0,0,0,0,0,0
arkanoid vs space invaders,ios and,square enix,action,0,0,0,0,0,0,0,0,0,0,0,0
arms,nsw,nintendo,fighting,0,0,0,0,0,0,0,0,0,0,0,0
assassins creed origins,pc ps4 xbo,ubisoft,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
atelier sophie the alchemist of the mysterious book,pc,koei tecmo,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
aven colony,pc ps4 xbo,team17,strategy,0,0,0,0,0,0,0,0,0,0,0,0
battle bay,ios and,rovio,action,0,0,0,0,0,0,0,0,0,0,0,0
battle brothers,pc,overhype studios,rpg,0,0,0,0,0,0,0,0,0,0,0,0
battle chasers nightwar,pc ps4 xbo,thq nordic,rpg,0,0,0,0,0,0,0,0,0,0,0,0
battle chef brigade,pc nsw,adult swim games,action puzzle,0,0,0,0,0,0,0,0,0,0,0,0
battle garegga rev 2016,ps4 xbo,eighting,shooter remake,0,0,0,0,0,0,0,0,0,0,0,0
battlejack,ios pc,nexon,board+card,0,0,0,0,0,0,0,0,0,0,0,0
battlerite,pc,stunlock studios,action,0,0,0,0,0,0,0,0,0,0,0,0
battlestar galactica deadlock,pc ps4 xbo,slitherine ltd,strategy,0,0,0,0,0,0,0,0,0,0,0,0
battlezone,pc,rebellion,vr action remake,0,0,0,0,0,0,0,0,0,0,0,0
bayonetta,pc,sega,action remake,0,0,0,0,0,0,0,0,0,0,0,0
berserk and the band of the hawk,pc ps4 vita,koei tecmo,action,0,0,0,0,0,0,0,0,0,0,0,0
