Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
428 shibuya scramble,pc ps4,spike chunsoft,adventure,0,0,0,0,0,0,0,0,0,0,0,0
7 billion humans,pc nsw mob,tomorrow corporation,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
a case of distrust,pc nsw,serenity forge,adventure,0,0,0,0,0,0,0,0,0,0,0,0
a way out,pc ps4 xbo,ea,action,0,0,0,0,0,0,0,0,0,0,0,0
accounting+,pc ps4,crows crows crows,vr adventure,0,0,0,0,0,0,0,0,0,0,0,0
aegis defenders,pc ps4 xbo,humble bundle,action,0,0,0,0,0,0,0,0,0,0,0,0
alphabear 2,mob,spry fox,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
altos odyssey,mob,snowman,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
among the stars,mob,cubio sp zoo,strategy,0,0,0,0,0,0,0,0,0,0,0,0
arcas path vr,pc ps4,rebellion,vr action adventure,0,0,0,0,0,0,0,0,0,0,0,0
ark surivival evolved,nsw,studio wildcard,action adventure remake,0,0,0,0,0,0,0,0,0,0,0,0
armored brigade,pc,matrix games,strategy,0,0,0,0,0,0,0,0,0,0,0,0
artifact,pc,valve,prcb,0,0,0,0,0,0,0,0,0,0,0,0
ashen,pc xbo,annapurna,rpg,0,0,0,0,0,0,0,0,0,0,0,0
assassins creed odyssey,pc ps4 xbo nsw,ubisoft,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
assault spy,pc,nis america,action,0,0,0,0,0,0,0,0,0,0,0,0
astro bot rescue mission,ps4,sony,vr action,0,0,0,0,0,0,0,0,0,0,0,0
atelier lydie & suelle the alchemists and the mysterious paintings,ps4 nsw,koei tecmo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
atelier meruru the alchemist of arland dx,pc ps4 nsw,koei tecmo,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
atelier rorona the alchemist of arland dx,pc ps4 nsw,koei tecmo,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
