Title,Platforms,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner-up
god of war,ps4,sony,action,211,30,19,5,3,2,2,0,4,1,0,1
marvels spiderman,ps4,sony,action adventure,132,5,12,10,10,5,6,0,2,2,0,0
red dead redemption 2,ps4 xbo,take two,action adventure,127,14,9,8,5,0,2,2,2,2,0,0
super smash bros ultimate,nsw,nintendo,fighting,106,10,5,7,3,7,2,3,2,0,1,0
monster hunter world,pc ps4 xbo,capcom,action,76,4,5,5,7,4,2,2,1,1,0,0
dragon quest xi echoes of an elusive age,pc ps4,square enix,rpg,73,12,1,3,1,2,1,1,0,1,3,1
celeste,pc ps4 xbo nsw,matt makes games,action,63,4,5,2,4,2,2,0,2,4,4,0
shadow of the colossus,ps4,sony,action adventure remake,48,1,1,5,2,5,4,3,1,0,0,0
detroit become human,ps4,sony,adventure,41,0,2,3,2,5,5,1,1,0,0,0
octopath traveller,pc,other,action,39,1,5,2,1,1,1,3,1,2,2,0
astro bot rescue mission,ps4,sony,vr action,37,1,5,5,1,0,0,1,0,0,0,0
assassins creed odyssey,pc ps4 xbo nsw,ubisoft,action adventure,29,2,2,0,3,0,1,0,0,5,2,0
hitman 2,pc ps4 xbo,wb games,action,25,1,1,3,2,1,0,1,0,0,2,1
dragonball fighterz,pc ps4 xbo nsw,bandai namco,fighting,21,0,2,1,3,0,0,1,3,1,1,0
deltarune chapter 1,pc,toby fox,rpg,21,0,1,2,0,3,3,0,0,0,0,0
hollow knight,ps4 xbo nsw,team cherry,action adventure remake,20,1,1,2,0,2,1,1,0,0,0,0
into the breach,pc nsw,subset games,strategy,20,1,0,2,3,0,0,1,2,1,0,0
return of the obra dinn,pc,3909,puzzle,19,0,3,1,0,0,3,0,0,0,1,0
forza horizon 4,pc xbo,microsoft,racing,16,1,1,0,1,2,0,2,1,0,0,0
dead cells,pc ps4 xbo nsw,motion twin,action adventure,15,0,1,1,1,1,2,1,0,0,0,0
yakuza kiwami 2,ps4,sega,action adventure remake,15,0,1,1,1,0,2,1,1,0,1,0
spyro reignited trilogy,pc ps4 xbo,activision blizzard,action adventure remake,13,1,1,0,1,0,1,1,1,0,0,0
valkyria chronicles 4,pc ps4 xbo nsw,sega,strategy,13,0,2,1,1,1,0,0,0,0,0,0
splatoon 2 octo expansion,nsw,nintendo,shooter,12,1,1,0,1,1,0,0,0,1,0,0
beat saber,pc ps4,beat games,vr prbc,12,1,0,1,0,1,1,0,1,0,0,0
yakuza 6 the song of life,ps4,sega,action,11,1,0,1,1,0,1,0,0,0,0,0
battletech,pc,paradox interactive,strategy,10,1,1,0,1,0,0,0,0,1,0,0
tetris effect,ps4,enhance games,vr puzzle,10,1,0,0,1,1,0,1,1,0,0,0
xenoblade chronicles 2 torna the golden country,nsw,nintendo,rpg,9,0,1,0,2,0,0,1,0,1,0,0
magic the gathering arena,pc,wizards of the coast,prcb,9,0,1,0,1,2,0,0,0,0,0,0
iconoclasts,pc ps4 vita,bitfrost entertainment,action,9,0,0,3,0,0,0,0,0,0,0,0
fortnite battle royale,pc ps4 xbo nsw mob,epic,shooter,9,0,0,1,0,1,0,1,0,0,3,0
battlefield v,pc ps4 xbo,ea,shooter,9,0,0,0,2,0,1,0,1,1,1,0
guacamelee 2,pc ps4 xbo nsw,drinkbox studios,action adventure,8,0,0,0,0,2,1,2,0,0,0,0
a way out,pc ps4 xbo,ea,action,8,0,0,0,0,0,3,0,1,0,1,0
sonic mania plus,pc ps4 xbo nsw,sega,action remake,7,0,0,2,0,0,0,1,0,0,0,0
kingdom come deliverance,pc ps4 xbo,warhorse studios,rpg,7,0,0,0,1,1,0,2,0,1,0,0
soulcalibur vi,pc ps4 xbo,bandai namco,fighting,7,0,0,0,0,2,0,0,1,1,1,1
shadow of the tomb raider,pc ps4 xbo,square enix,action adventure,7,0,0,0,0,1,1,0,2,0,1,0
radiant historia perfect chronology,3ds,atlus,rpg remake,6,0,1,0,0,1,0,0,0,1,0,0
428 shibuya scramble,pc ps4,spike chunsoft,adventure,6,0,0,2,0,0,0,0,0,0,0,0
call of duty black ops iiii,pc ps4 xbo,activision,shooter,6,0,0,1,0,1,0,0,1,0,0,0
where the water tastes like wine,pc,good shepherd entertainment,adventure,6,0,0,0,3,0,0,0,0,0,0,0
gris,pc nsw,devolver digital,adventure,6,0,0,0,0,3,0,0,0,0,0,0
bayonetta 2,nsw,sega,action remake,6,0,0,0,0,2,1,0,0,0,0,0
donut county,pc ps4 xbo nsw mob,annapurna,puzzle,6,0,0,0,0,1,1,0,2,0,0,0
dark souls remastered,pc ps4 xbo nsw,namco bandai,rpg remake,5,1,0,0,0,0,0,0,0,1,0,0
